State  Recv-Q Send-Q               Local Address:Port  Peer Address:PortProcess                           
LISTEN 0      200                      127.0.0.1:5432       0.0.0.0:*                                     
LISTEN 0      4096                     127.0.0.1:5678       0.0.0.0:*                                     
LISTEN 0      4096                 127.0.0.53%lo:53         0.0.0.0:*                                     
LISTEN 0      4096                 100.78.208.44:53284      0.0.0.0:*                                     
LISTEN 0      4096                    127.0.0.54:53         0.0.0.0:*                                     
LISTEN 0      4096                       0.0.0.0:8001       0.0.0.0:*                                     
LISTEN 0      1000                 192.168.2.221:4505       0.0.0.0:*                                     
LISTEN 0      1000                 192.168.2.221:4506       0.0.0.0:*                                     
LISTEN 0      511                      127.0.0.1:6379       0.0.0.0:*                                     
LISTEN 0      128                        0.0.0.0:25672      0.0.0.0:*                                     
LISTEN 0      511                        0.0.0.0:80         0.0.0.0:*                                     
LISTEN 0      4096                       0.0.0.0:22         0.0.0.0:*                                     
LISTEN 0      2048                       0.0.0.0:9001       0.0.0.0:*    users:(("uvicorn",pid=951,fd=9)) 
LISTEN 0      4096                       0.0.0.0:9090       0.0.0.0:*                                     
LISTEN 0      4096                       0.0.0.0:9115       0.0.0.0:*                                     
LISTEN 0      4096                       0.0.0.0:3100       0.0.0.0:*                                     
LISTEN 0      4096                     127.0.0.1:11434      0.0.0.0:*                                     
LISTEN 0      4096                       0.0.0.0:11436      0.0.0.0:*                                     
LISTEN 0      5                          0.0.0.0:11435      0.0.0.0:*    users:(("python3",pid=1408,fd=3))
LISTEN 0      4096                     127.0.0.1:3000       0.0.0.0:*                                     
LISTEN 0      128                              *:5672             *:*                                     
LISTEN 0      4096   [fd7a:115c:a1e0::d801:d064]:54139         [::]:*                                     
LISTEN 0      4096                             *:4369             *:*                                     
LISTEN 0      4096                          [::]:8001          [::]:*                                     
LISTEN 0      511                          [::1]:6379          [::]:*                                     
LISTEN 0      4096                          [::]:22            [::]:*                                     
LISTEN 0      4096                          [::]:9090          [::]:*                                     
LISTEN 0      4096                             *:9100             *:*                                     
LISTEN 0      4096                          [::]:9115          [::]:*                                     
LISTEN 0      4096                          [::]:3100          [::]:*                                     
LISTEN 0      4096                          [::]:11436         [::]:*                                     
